📺央视频道,#genre#
甘肃卫视,http://139.129.231.228:50060/rtp/239.21.2.22:5002
甘肃卫视,http://139.196.214.238/rtp/239.45.1.234:5140
甘肃卫视,http://123.129.70.178/rtp/239.253.254.74:8000
甘肃卫视,http://116.117.107.84/rtp/239.125.1.151:4130
甘肃卫视,http://58.221.214.82/rtp/239.49.1.238:6000
甘肃卫视,http://116.117.104.248/rtp/239.125.1.151:4130
甘肃卫视,http://110.7.131.79/rtp/239.125.1.151:4130
广西卫视,http://60.29.124.66/rtp/225.1.2.81:5002
广西卫视,http://139.129.231.228/rtp/239.21.1.39:5002
广西卫视,http://139.196.214.238/rtp/239.45.0.5:5140
广西卫视,http://123.129.70.178/rtp/239.253.254.197:8000
贵州卫视,http://60.29.124.66/rtp/225.1.2.28:5002
贵州卫视,http://139.129.231.228/rtp/239.21.1.166:5002
贵州卫视,http://139.196.214.238/rtp/239.45.1.80:5140
海南卫视,http://60.29.124.66/rtp/225.1.2.82:5002
海南卫视,http://139.129.231.228/rtp/239.21.2.14:5002
海南卫视,http://139.196.214.238/rtp/239.45.1.81:5140
海南卫视,http://123.129.70.178/rtp/239.253.254.179:8000
海南卫视,http://116.117.107.84/rtp/239.125.1.165:4130
海南卫视,http://116.117.104.248/rtp/239.125.1.165:4130
海南卫视,http://110.7.131.79/rtp/239.125.1.165:4130
河北卫视,http://60.29.124.66/rtp/225.1.2.27:5002
河北卫视,http://139.129.231.228/rtp/239.21.1.168:5002
河北卫视,http://139.196.214.238/rtp/239.45.1.44:5140
河北卫视,http://58.221.214.82/rtp/239.49.1.236:6000
河南卫视,http://60.29.124.66/rtp/225.1.2.61:5002
河南卫视,http://139.129.231.228/rtp/239.21.2.37:5002
河南卫视,http://139.196.214.238/rtp/239.45.0.3:5140
河南卫视,http://123.129.70.178/rtp/239.253.254.190:8000
吉林卫视,http://60.29.124.66/rtp/225.1.2.26:5002
吉林卫视,http://139.129.231.228/rtp/239.21.2.49:5002
吉林卫视,http://139.196.214.238/rtp/239.45.0.6:5140
吉林卫视,http://123.129.70.178/rtp/239.253.254.173:8000
江苏卫视,http://60.29.124.66/rtp/225.1.1.126:5002
江苏卫视,http://139.129.231.228/rtp/239.21.1.89:5002
江苏卫视,http://139.196.214.238/rtp/239.45.3.177:5140
江西卫视,http://60.29.124.66/rtp/225.1.2.29:5002
江西卫视,http://139.129.231.228/rtp/239.21.1.167:5002
江西卫视,http://139.196.214.238/rtp/239.45.1.122:5140
江西卫视,http://123.129.70.178/rtp/239.253.254.47:8000
辽宁卫视,http://60.29.124.66/rtp/225.1.1.154:5002
辽宁卫视,http://139.129.231.228/rtp/239.21.1.164:5002
辽宁卫视,http://139.196.214.238/rtp/239.45.1.123:5140
内蒙古卫视,http://60.29.124.66/rtp/225.1.1.32:5002
内蒙古卫视,http://139.129.231.228:50060/rtp/239.21.1.41:5002
内蒙古卫视,http://139.196.214.238/rtp/239.45.1.238:5140
内蒙古卫视,http://116.117.107.84/rtp/239.125.1.59:5000
内蒙古卫视,http://58.221.214.82/rtp/239.49.1.240:6000
内蒙古卫视,http://116.117.104.248/rtp/239.125.1.59:5000
内蒙古卫视,http://110.7.131.79/rtp/239.125.1.59:5000
宁夏卫视,http://60.29.124.66/rtp/225.1.1.56:5002
宁夏卫视,http://139.129.231.228/rtp/239.21.1.44:5002
宁夏卫视,http://139.196.214.238/rtp/239.45.1.213:5140
宁夏卫视,http://58.221.214.82/rtp/239.49.1.237:6000
青海卫视,http://60.29.124.66/rtp/225.1.1.54:5002
青海卫视,http://139.129.231.228/rtp/239.21.1.43:5002
青海卫视,http://139.196.214.238/rtp/239.45.1.230:5140
青海卫视,http://123.129.70.178/rtp/239.253.254.195:8000
青海卫视,http://116.117.107.84/rtp/239.125.1.150:4130
青海卫视,http://116.117.104.248/rtp/239.125.1.150:4130
青海卫视,http://110.7.131.79/rtp/239.125.1.150:4130
山东卫视,http://139.129.231.228/rtp/239.21.1.87:5002
山东卫视,http://139.196.214.238/rtp/239.45.3.238:5140
山东卫视,http://58.221.214.82/rtp/239.49.8.146:6000
山西卫视,http://60.29.124.66/rtp/225.1.1.50:5002
山西卫视,http://139.129.231.228/rtp/239.21.1.33:5002
山西卫视,http://139.196.214.238/rtp/239.45.1.229:5140
陕西卫视,http://60.29.124.66/rtp/225.1.1.41:5002
陕西卫视,http://139.129.231.228/rtp/239.21.1.30:5002
陕西卫视,http://139.196.214.238/rtp/239.45.1.232:5140
陕西卫视,http://58.221.214.82/rtp/239.49.1.248:6000
四川卫视,http://60.29.124.66/rtp/225.1.1.123:5002
四川卫视,http://139.129.231.228/rtp/239.21.2.15:5002
四川卫视,http://139.196.214.238/rtp/239.45.1.83:5140
四川卫视,http://123.129.70.178/rtp/239.253.254.180:8000
四川卫视,http://58.221.214.82/rtp/239.49.8.184:6000
深圳卫视,http://60.29.124.66/rtp/225.1.1.117:5002
深圳卫视,http://139.129.231.228/rtp/239.21.1.93:5002
深圳卫视,http://139.196.214.238/rtp/239.45.3.231:5140
深圳卫视,http://123.129.70.178/rtp/239.253.254.91:8000
三沙卫视,http://60.29.124.66/rtp/225.1.2.181:5002
三沙卫视,http://139.129.231.228:50060/rtp/239.21.2.9:5002
三沙卫视,http://139.196.214.238/rtp/239.45.1.82:5140
三沙卫视,http://116.117.107.84/rtp/239.125.1.180:4130
三沙卫视,http://116.117.104.248/rtp/239.125.1.180:4130
三沙卫视,http://110.7.131.79/rtp/239.125.1.180:4130
天津卫视,http://60.29.124.66/rtp/225.1.1.111:5002
天津卫视,http://139.129.231.228/rtp/239.21.1.165:5002
天津卫视,http://139.196.214.238/rtp/239.45.1.124:5140
天津卫视,http://58.221.214.82/rtp/239.49.8.148:6000
西藏卫视,http://60.29.124.66/rtp/225.1.1.51:5002
西藏卫视,http://139.129.231.228:50060/rtp/239.21.1.46:5002
西藏卫视,http://139.196.214.238/rtp/239.45.1.231:5140
西藏卫视,http://116.117.107.84/rtp/239.125.1.117:4130
西藏卫视,http://58.221.214.82/rtp/239.49.1.139:6000
西藏卫视,http://116.117.104.248/rtp/239.125.1.117:4130
西藏卫视,http://110.7.131.79/rtp/239.125.1.117:4130
新疆卫视,http://60.29.124.66/rtp/225.1.1.35:5002
新疆卫视,http://139.129.231.228:50060/rtp/239.21.1.45:5002
新疆卫视,http://139.196.214.238/rtp/239.45.1.116:5140
新疆卫视,http://58.221.214.82/rtp/239.49.1.239:6000
云南卫视,http://60.29.124.66/rtp/225.1.1.61:5002
云南卫视,http://139.129.231.228/rtp/239.21.1.40:5002
云南卫视,http://139.196.214.238/rtp/239.45.0.4:5140
云南卫视,http://123.129.70.178/rtp/239.253.254.196:8000
云南卫视,http://58.221.214.82/rtp/239.49.1.235:6000

☘️浙江频道,#genre#
浙江钱江,http://120.55.49.231:3095/rtp/233.50.201.132:5140
浙江钱江台,http://120.55.49.231:3095/rtp/233.50.201.132:5140
浙江教育,http://120.55.49.231:3095/rtp/233.50.201.134:5140
浙江新闻,http://120.55.49.231:3095/rtp/233.50.201.137:5140
浙江少儿,http://120.55.49.231:3095/rtp/233.50.201.138:5140
杭州综合,http://120.55.49.231:3095/rtp/233.50.201.173:5140
杭州生活,http://120.55.49.231:3095/rtp/233.50.201.175:5140
杭州青少,http://120.55.49.231:3095/rtp/233.50.201.177:5140
之江纪录,http://120.55.49.231:3095/rtp/233.50.202.25:5140
丽水新闻,http://120.55.49.231:3095/rtp/233.50.201.162:5140
浙江民生休闲,http://120.55.49.231:3095/rtp/233.50.201.136:5140

☘️江苏频道,#genre#
东海新闻,http://58.221.214.82/rtp/239.49.1.136:6000
优漫卡通,http://139.129.231.228:50060/rtp/239.21.1.50:5002
南京信息,http://58.221.214.82/rtp/239.49.8.223:6000
南京十八,http://58.221.214.82/rtp/239.49.1.157:6000
南京娱乐,http://58.221.214.82/rtp/239.49.8.229:6000
南京少儿,http://58.221.214.82/rtp/239.49.8.230:6000
南京生活,http://58.221.214.82/rtp/239.49.1.28:6000
宿迁公共,http://58.221.214.82/rtp/239.49.1.123:6000
常州公共,http://58.221.214.82/rtp/239.49.1.131:6000
常州生活,http://58.221.214.82/rtp/239.49.1.132:6000
常州都市,http://58.221.214.82/rtp/239.49.1.133:6000
徐州公共頻道,http://58.221.214.82/rtp/239.49.1.105:6000
徐州公共,http://58.221.214.82/rtp/239.49.1.105:6000
江苏公共,http://58.221.214.82/rtp/239.49.1.22:6000
江苏城市,http://58.221.214.82/rtp/239.49.8.107:8000
江苏影视,http://58.221.214.82/rtp/239.49.8.118:8000
沭阳综合,http://58.221.214.82/rtp/239.49.1.117:6000
泗阳综合,http://58.221.214.82/rtp/239.49.1.103:6000
淮安公共,http://58.221.214.82/rtp/239.49.1.96:6000
睢宁综合,http://58.221.214.82/rtp/239.49.1.246:6000
贾汪新闻,http://58.221.214.82/rtp/239.49.8.193:6000

☘️山东频道,#genre#
山东少儿,http://139.129.231.228:50060/rtp/239.21.1.208:5002
山东新闻,http://139.129.231.228:50060/rtp/239.21.1.140:5002
山东国际,http://139.129.231.228/rtp/239.21.1.61:5002
山东教育,http://139.129.231.228/rtp/239.21.1.169:5002
山东教育,http://123.129.70.178/rtp/239.253.254.59:8000
山东教育,http://116.117.107.84/rtp/239.125.1.178:4130
山东教育,http://58.221.214.82/rtp/239.49.1.250:6000
山东教育,http://116.117.104.248/rtp/239.125.1.178:4130
山东教育,http://110.7.131.79/rtp/239.125.1.178:4130
山东居家购物,http://139.129.231.228/rtp/239.21.1.112:5002
山东农科,http://139.129.231.228:50060/rtp/239.21.1.183:5002
山东农科,http://123.129.70.178/rtp/239.253.254.24:8000
山东齐鲁,http://139.129.231.228:50060/rtp/239.21.1.134:5002
山东生活,http://139.129.231.228:50060/rtp/239.21.1.175:5002
山东体育,http://139.129.231.228/rtp/239.21.1.141:5002
山东文旅,http://139.129.231.228:50060/rtp/239.21.1.176:5002
山东文旅,http://123.129.70.178/rtp/239.253.254.160:8000
山东综艺,http://139.129.231.228/rtp/239.21.1.177:5002
济南都市,http://139.129.231.228:50060/rtp/239.21.1.63:5002
济南生活,http://139.129.231.228:50060/rtp/239.21.1.64:5002
济南影视,http://139.129.231.228/rtp/239.21.1.65:5002
济南娱乐,http://139.129.231.228:50060/rtp/239.21.1.66:5002
济南少儿,http://139.129.231.228:50060/rtp/239.21.1.68:5002
济南商务,http://139.129.231.228/rtp/239.21.1.67:5002
济南教育,http://139.129.231.228:50060/rtp/239.21.1.133:5002
济南鲁中,http://139.129.231.228:50060/rtp/239.21.1.149:5002
青州电视台文化旅游,http://139.129.231.228/rtp/239.21.1.231:5002
青州综合,http://139.129.231.228/rtp/239.21.1.232:5002
济宁公共,http://139.129.231.228/rtp/239.21.2.20:5002
济宁教育,http://139.129.231.228/rtp/239.21.1.139:5002
济宁综合,http://139.129.231.228/rtp/239.21.2.19:5002
日照科教,http://139.129.231.228/rtp/239.21.1.80:5002
淄博生活,http://139.129.231.228/rtp/239.21.1.109:5002
淄博都市,http://139.129.231.228/rtp/239.21.1.83:5002
滨州公共,http://139.129.231.228/rtp/239.21.1.119:5002
烟台公共,http://139.129.231.228/rtp/239.21.1.117:5002

🎬电影频道,#genre#
CHC家庭影院,http://60.29.124.66/rtp/225.1.1.213:5002
CHC家庭影院,http://123.129.70.178/rtp/239.253.254.152:8000
CHC动作电影,http://60.29.124.66/rtp/225.1.1.215:5002
CHC动作电影,http://123.129.70.178/rtp/239.253.254.153:8000
CHC高清电影,http://60.29.124.66/rtp/225.1.1.214:5002
CHC高清电影,http://123.129.70.178/rtp/239.253.254.154:8000
经典电影,http://116.117.107.84/rtp/239.125.1.28:5000
经典电影,http://116.117.104.248/rtp/239.125.1.28:5000
经典电影,http://110.7.131.79/rtp/239.125.1.28:5000
IPTV经典电影,http://139.129.231.228/rtp/239.21.1.124:5002

🏀体育频道,#genre#
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002
CCTV-5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV-5+,http://60.29.124.66/rtp/225.1.1.121:5002
CCTV-5+,http://139.129.231.228/rtp/239.21.1.142:5002
CCTV-5+,http://116.117.107.84/rtp/239.125.1.57:5000
CCTV-5+,http://116.117.104.248/rtp/239.125.1.57:5000
CCTV-5+,http://110.7.131.79/rtp/239.125.1.57:5000
广东体育,http://120.77.205.62:8087/rtp/239.77.0.112:5146
五星体育,http://139.196.214.238/rtp/239.45.3.210:5140
体育赛事,http://139.129.231.228/rtp/239.21.2.44:5002
劲爆体育,http://58.221.214.82/rtp/239.49.1.180:6000
爱体育,http://116.117.107.84/rtp/239.125.1.122:4130
爱体育,http://116.117.104.248/rtp/239.125.1.122:4130
爱体育,http://110.7.131.79/rtp/239.125.1.122:4130
山东体育,http://139.129.231.228/rtp/239.21.1.141:5002
天津体育,http://60.29.124.66/rtp/225.1.1.122:5002
风云足球,http://58.221.214.82/rtp/239.49.1.61:6000
足球频道,http://139.129.231.228/rtp/239.21.1.162:5002
足球频道,http://116.117.107.84/rtp/239.125.1.51:5000
足球频道,http://116.117.104.248/rtp/239.125.1.51:5000
足球频道,http://110.7.131.79/rtp/239.125.1.51:5000
魅力足球,http://60.29.124.66/rtp/225.1.1.137:5002
魅力足球,http://123.129.70.178/rtp/239.253.254.100:8000
魅力足球,http://58.221.214.82/rtp/239.49.1.179:6000
快乐垂钓,http://60.29.124.66/rtp/225.1.1.92:5002
快乐垂钓,http://120.55.49.231:3095/rtp/233.50.201.109:5140
快乐垂钓,http://58.221.214.82/rtp/239.49.1.225:6000

🪁动画频道,#genre#
卡酷动画,http://116.117.107.84/rtp/239.125.1.127:4130
卡酷动画,http://116.117.104.248/rtp/239.125.1.127:4130
卡酷动画,http://110.7.131.79/rtp/239.125.1.127:4130
动漫秀场,http://139.196.214.238/rtp/239.45.3.134:5140
动漫秀场,http://120.55.49.231:3095/rtp/233.50.201.184:5140
